,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10
GP3,3.2454361054766734,5.476673427991886,5.273833671399594,4.056795131845842,5.679513184584178,5.88235294117647,6.896551724137931,5.88235294117647,11.561866125760648,46.0446247464503
GP2,3.0264817150063053,5.170239596469105,5.422446406052964,5.548549810844893,5.044136191677175,5.044136191677175,7.944514501891551,10.08827238335435,13.240857503152585,39.470365699873895
GP1,12.232243517474634,12.288613303269448,8.765501691093574,5.411499436302142,4.678692220969561,4.96054114994363,6.708004509582864,10.146561443066517,12.204058624577227,22.604284103720406
GP4,3.125,3.6458333333333335,3.6458333333333335,3.6458333333333335,4.6875,5.208333333333334,6.25,7.291666666666667,14.583333333333334,47.91666666666667
